country_name,country_code,gpc_2001,gpc_2002,gpc_2003,gpc_2004,gpc_2005,gpc_2006,gpc_2007,gpc_2008,gpc_2009,gpc_2010,gpc_2011,gpc_2012,gpc_2013,gpc_2014,gpc_2015,gpc_2016,gpc_2017,gpc_2018,gpc_2019
Mexico,MEX,7544.57,7593.14,7075.37,7484.49,8277.67,9068.29,9642.68,10016.57,8002.97,9271.4,10203.42,10241.73,10725.18,10928.92,9616.65,8744.52,9287.85,9686.98,9950.22
"Micronesia, Fed. Sts.",FSM,2248.49,2265.94,2295.87,2253.11,2358.15,2406.11,2458.66,2541.26,2721.98,2885.31,3009.26,3131.39,2994.79,2971.51,2906.62,3014.7,3289.64,3568.29,3624.25
Moldova,MDA,507.56,570.97,682.53,897.45,1034.71,1183.38,1531.69,2111.2,1899.01,2437.54,2942.25,3045.73,3322.05,3328.79,2732.46,2880.44,3509.69,4230.63,4492.11
Monaco,MCO,83724.47,90506.86,108656.8,123523.49,124197.28,134048.62,169966.31,185785.73,154775.38,150737.89,169016.2,157520.22,177673.75,189432.37,165989.51,170028.66,167517.06,185978.61,189487.15
Mongolia,MNG,524.05,571.59,646.19,797.98,998.83,1334.21,1632.73,2136.56,1714.36,2643.29,3757.57,4351.89,4366.09,4158.52,3875.32,3658.39,3687.1,4156.85,4404.85
Montenegro,MNE,1909.6,2106.64,2789.16,3380.17,3674.62,4425.68,5976.39,7367.75,6727.11,6688.48,7328.93,6586.72,7188.86,7387.87,6517.19,7033.44,7803.36,8850.38,8909.89
Morocco,MAR,1339.29,1416.49,1725.46,1952.9,2018.03,2196.01,2499.26,2890.36,2866.92,2839.93,3046.95,2912.66,3121.68,3171.7,2875.26,2896.72,3035.45,3226.98,3235.0
Mozambique,MOZ,296.27,302.55,326.08,383.27,416.81,435.33,482.2,563.65,520.4,471.9,594.59,657.65,664.08,673.97,589.86,428.93,461.41,503.3,506.82
Myanmar,MMR,131.72,128.1,161.06,193.37,216.31,240.62,314.2,460.91,586.17,746.95,1061.34,1134.3,1168.17,1210.1,1196.74,1136.61,1151.11,1250.17,1271.11
Namibia,NAM,1950.65,1808.88,2621.7,3464.42,3739.53,4059.1,4405.41,4212.37,4295.39,5395.0,5806.75,5942.29,5392.09,5469.9,4896.62,4546.99,5367.11,5588.39,5028.3
Nauru,NRU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4752.18,6560.27,9562.67,9648.5,10171.48,8341.01,9521.04,10339.39,11614.67,11029.74
Nepal,NPL,246.73,244.72,252.4,286.16,315.81,346.95,391.38,470.46,478.17,592.4,797.81,804.14,823.36,844.85,901.75,899.52,1048.45,1178.53,1194.96
Netherlands,NLD,26896.55,29343.24,35750.97,40436.62,41994.71,44900.94,51799.21,57879.94,52722.21,50999.75,54230.31,50070.14,52198.9,52900.54,45193.4,46039.11,48675.22,53044.53,52476.27
New Caledonia,NCL,15174.28,16885.9,21817.32,25770.54,26861.71,29604.04,36864.88,37353.75,35391.08,37494.88,40697.63,37294.03,38503.26,39675.58,32520.3,32391.2,33976.55,36382.5,34788.54
